Year, Month, Date,Spot,BOD,COD,TN,TP,TOC,NH3N,NO3N,PO4P,SS,pH,DO,EC,Chla,WT,WL,WS,RF,TI,TD
2012,4,2012.04.16,ав╩Й,2.5,7,4.573,0.07,4.6,0.893,2.732,0.029,6.9,8.4,12.8,267,21.1,14.7,3.62,27.42,0,0.35,0
2012,4,2012.04.26,ав╩Й,5.6,7.1,5.232,0.317,5.7,2.256,1.808,0.257,15.5,7.4,8.5,311,19,16.3,3.34,25.92,0.08,7,0
2012,5,2012.05.02,ав╩Й,2.4,6.8,3.264,0.153,4.3,0.835,1.752,0.092,13.2,7.8,9.8,221,21.3,19,3.46,26.95,1.41,-5.53,0
2012,5,2012.05.10,ав╩Й,5.9,8.7,3.421,0.151,5.4,0.413,1.927,0.054,11.3,8.6,12.2,229,95.2,21.3,3.61,27.41,0,3.3,0
2012,5,2012.05.18,ав╩Й,4.7,8.3,3.685,0.23,5.9,1.283,1.451,0.137,44.6,6.7,5.7,269,25.9,20.7,3.04,23.33,0,-40,0
2012,5,2012.05.22,ав╩Й,6.2,9.3,4.609,0.283,7,2.488,1.161,0.212,13.8,7.2,8.2,415,22,22.2,1.52,16.92,0,-0.35,0
2012,5,2012.05.31,ав╩Й,8.9,12.6,4.848,0.141,8.4,2.08,1.347,0.064,20.2,8.3,11,352,79.5,22.8,3.05,23.41,0,10.15,0
2012,6,2012.06.07,ав╩Й,8.3,12.6,4.774,0.196,8.1,1.513,1.176,0.07,17.1,7.8,7,363,68.5,23.7,3.43,26.7,0.01,322.56,13.59
2012,6,2012.06.11,ав╩Й,9.7,16,5.198,0.225,9.5,1.501,1.268,0.101,21.7,6.8,9,370,146.9,27.8,3.61,27.41,0,0.71,0
2012,6,2012.06.21,ав╩Й,7.4,12.9,4.177,0.184,8.8,1.107,1.103,0.105,14.2,8.5,10.4,334,84.9,26.2,3.5,27.3,2.06,-0.59,0
2012,6,2012.06.26,ав╩Й,10.2,12.2,3.919,0.174,8.2,1.02,1.225,0.105,14.7,8.1,9.5,307,85.9,26,3.46,25.47,0,-0.63,0
2012,7,2012.07.05,ав╩Й,5.2,11.4,4.209,0.226,8.3,2.015,0.944,0.197,11.4,6.5,5.4,353,27.6,25.3,3.68,26.87,38.05,6.86,0
2012,7,2012.07.10,ав╩Й,5.8,11.5,2.962,0.119,6.1,1.211,1.268,0.085,13.3,6.5,11.2,259,42.3,26.2,3.75,27.33,18.88,76.78,65.32
2012,7,2012.07.20,ав╩Й,2.3,7.9,2.939,0.127,4.1,0.244,2.119,0.091,33.1,6.7,7.6,129,6,24.3,3.55,26.01,0.43,281.32,259.26
2012,7,2012.07.23,ав╩Й,3.6,7.4,2.531,0.108,4.1,0.064,1.823,0.053,13.1,6.4,8.4,141,36.3,26.8,3.56,26.08,0,71.74,66.53
2012,8,2012.08.02,ав╩Й,5.5,13,1.893,0.091,7.1,0.08,1.098,0.011,18.1,9.6,10.8,202,76.8,31.2,3.56,26.08,0.01,4.05,26.82
2012,8,2012.08.09,ав╩Й,5.2,13.2,2.387,0.152,7.5,0.252,1.331,0.055,15.1,8.8,8.7,272,58.8,30.7,3.4,25.14,2.08,-8.95,47.73
2012,8,2012.08.13,ав╩Й,6.7,11.8,3.072,0.129,6.8,1.045,1.183,0.103,15.6,7.9,6.3,283,53.7,29.2,3.31,24.65,29.82,23.57,118.46
2012,8,2012.08.21,ав╩Й,2.3,7.5,1.754,0.078,4.4,0.161,1.115,0.061,6.2,6.5,8.3,171,23.4,28.1,3.85,27.99,9.49,3.69,59.17
2012,8,2012.08.29,ав╩Й,1.7,10.3,1.722,0.123,3.9,0.155,1.321,0.091,62.8,6.1,8.2,108,3.9,23.6,1.91,17.9,3.79,337.64,748.3
2012,9,2012.09.03,ав╩Й,1.2,5.3,2.496,0.05,2.4,0.164,1.937,0.038,17.2,7.4,7.8,137,6.4,24.5,3.16,23.84,0.05,16.04,98.75
2012,9,2012.09.12,ав╩Й,2.2,5.1,2.15,0.067,2.7,0.201,1.358,0.061,11.6,6.7,8.4,130,14.1,23.5,3.21,24.11,0.02,80.11,166.16
2012,9,2012.09.20,ав╩Й,1.1,4.7,1.92,0.07,2.3,0.128,1.346,0.051,5.8,7.6,9.2,110,2.9,21.9,3.47,25.52,0,63.34,188.93
2012,9,2012.09.25,ав╩Й,3.1,5.8,2.043,0.043,2.1,0.051,1.566,0.006,7.9,7.6,9.4,142,36.3,23.4,3.54,25.95,0,24.88,50.02
2012,10,2012.10.02,ав╩Й,2,7.1,2.724,0.042,2.7,0.073,2.214,0.001,7.8,6.6,9.9,202,35.9,22,3.59,26.28,0,15.19,49.24
2012,10,2012.10.09,ав╩Й,4.1,8.2,2.772,0.038,3.8,0.044,2.256,0.002,11.1,8.4,10.7,242,56.3,21.3,3.57,26.15,0,12.27,34.77
2012,10,2012.10.16,ав╩Й,3.7,7.8,2.718,0.02,4.4,0.185,2.317,0.002,14.3,8.4,10.8,237,54.1,19.4,3.58,26.21,0,19.08,29.23
2012,10,2012.10.23,ав╩Й,3.2,7.3,3.504,0.023,3.7,0.191,2.569,0.004,18.4,7.4,9.6,255,37.9,17,3.57,26.15,0,19.18,49.4
2012,10,2012.10.29,ав╩Й,4,6.9,3.95,0.069,3.8,0.571,2.975,0.031,7.9,6.3,9.4,303,40.8,17.2,3.55,26.01,0,28.17,62.22
2012,11,2012.11.07,ав╩Й,3.2,5.6,3.624,0.084,3.8,0.591,2.453,0.058,9.1,7.3,9.5,276,23.9,13.9,3.36,24.92,0.02,-3.16,13.68
2012,11,2012.11.13,ав╩Й,3.2,6.2,3.212,0.054,3.4,0.221,2.518,0.035,6.4,7.5,11.4,260,42.4,12.8,3.49,25.63,1.24,-9.91,19.87
2012,11,2012.11.19,ав╩Й,2.7,6.5,4.631,0.072,3.3,0.596,3.524,0.037,8.3,7.6,11.1,322,29.7,11.2,3.51,25.75,0.05,7.55,32.81
2012,11,2012.11.29,ав╩Й,4.1,6.7,4.345,0.048,3.9,0.484,3.021,0.005,8.8,7.8,12.9,338,50.4,9.1,3.5,25.68,0,8.59,23.89
2012,12,2012.12.05,ав╩Й,4.5,7,4.218,0.062,4,0.363,3.288,0.003,9.8,7.7,14.3,325,52.9,7.4,3.62,26.48,12.26,6.05,20.78
2012,12,2012.12.11,ав╩Й,4.9,6,4.911,0.068,3.2,0.763,3.641,0.004,7.3,7.1,13.3,350,45.8,5.5,3.5,25.68,0.17,9.27,25.91
2012,12,2012.12.17,ав╩Й,2.9,6.9,5.297,0.121,3.1,1.349,3.879,0.075,7.1,7.3,11.3,413,18.5,5.2,3.54,25.95,0,17.63,48.44
2012,12,2012.12.26,ав╩Й,2,3.9,3.897,0.214,2.6,0.891,2.697,0.067,5.6,6.7,12.5,303,9,3.7,3.72,27.14,0,20.01,40.9
2013,1,2013.01.04,ав╩Й,2.3,5.9,4.878,0.092,3.3,1.212,3.13,0.048,5.8,7.4,14.9,319,20.7,2.3,3.7,27,0,18.56,35.83
2013,1,2013.01.09,ав╩Й,2.6,5.9,5.136,0.092,4,1.286,3.419,0.04,5.1,7.5,14,339,38,3.2,3.68,26.87,0,18.51,32.67
2013,1,2013.01.14,ав╩Й,4.4,7.1,5.723,0.09,5.6,1.507,3.489,0.012,9.1,7.2,13.9,361,57.9,3.9,3.68,26.87,0,18.4,31.64
2013,1,2013.01.22,ав╩Й,3.7,7.6,6.421,0.05,4.2,1.664,3.564,0.011,7.7,7,13.7,386,65.7,3.6,3.55,26.01,0.52,25,72.27
2013,1,2013.01.29,ав╩Й,3.6,8.4,6.386,0.088,5.9,2.593,3.231,0.028,11.4,8,15.2,379,63.5,5.1,3.69,26.95,0.02,20.55,36.61
2013,2,2013.02.06,ав╩Й,3.9,6.6,5.822,0.112,4.7,2.365,2.71,0.076,7.1,6.8,11.8,328,34.4,5.9,3.57,26.15,1.85,31.77,94.8
2013,2,2013.02.13,ав╩Й,2.6,5.7,4.171,0.121,3.6,1.46,2.389,0.095,7.2,6.6,13.3,248,10.2,3.6,3.48,25.58,0,7.47,16.44
2013,2,2013.02.19,ав╩Й,2.1,6.6,4.386,0.108,3.6,1.295,2.629,0.082,4.8,7.3,12.5,214,17.9,3.5,3.77,27.46,0,20.96,47.49
2013,2,2013.02.25,ав╩Й,2.6,6.5,5.112,0.095,3.9,1.762,2.796,0.053,6.1,7.7,13.9,299,37,4.9,3.03,23.13,0,19.18,87.05
2013,3,2013.03.06,ав╩Й,3.1,7.4,5.147,0.091,4.8,1.667,0.931,0.016,9.1,7.1,13.7,290,47.8,8.3,3.66,26.74,0,17.44,29.75
2013,3,2013.03.12,ав╩Й,4.5,8.4,4.746,0.065,5,1.482,0.914,0.006,14.5,8,14.5,297,63.3,10.2,3.65,26.67,0.29,16.15,26.09
2013,3,2013.03.20,ав╩Й,4.9,9.4,4.946,0.156,6.5,2.148,1.983,0.082,20.4,7.3,9.2,272,61.3,11.4,3.66,26.74,0.01,41.22,94.07
2013,3,2013.03.28,ав╩Й,3,6.9,3.275,0.083,4.9,0.541,1.676,0.034,9.6,7.1,11.7,198,47.8,11.8,3.69,26.94,0,18.18,33.08
2013,4,2013.04.02,ав╩Й,5.4,8.2,3.633,0.063,4.5,0.585,2.266,0.021,10.1,7.7,11.8,211,58.7,11.8,3.33,24.76,0.2,8.36,43.38
2013,4,2013.04.09,ав╩Й,4.3,7,4.306,0.053,4.2,1.242,2.225,0.014,7.2,7.4,11,265,33.8,11.6,3.67,26.81,0,15.17,33.92
2013,4,2013.04.18,ав╩Й,4.4,8,5.146,0.042,4.7,2.106,2.193,0.004,6.7,8.3,11.6,318,47.5,14.5,3.62,26.48,0.01,13.33,24.52
2013,4,2013.04.24,ав╩Й,4.2,6.6,5.833,0.073,5.4,2.222,1.909,0.012,6.1,7.8,10.9,348,60.1,14.4,3.48,25.58,0.21,17.41,63.65
2013,4,2013.04.30,ав╩Й,3,7.4,5.491,0.056,4.8,2.398,1.987,0.004,5.5,7.8,9.8,369,39.4,15.4,3.43,25.3,0.12,6.92,29.2
2013,5,2013.05.06,ав╩Й,5.1,10.6,5.906,0.077,5.4,3.112,1.796,0.006,12.9,8.4,11.4,382,41.1,18.3,3.38,25.03,0,8.15,16.87
2013,5,2013.05.14,ав╩Й,4.4,10.7,5.005,0.044,5.5,2.434,1.489,0.005,9.8,7.6,7.7,346,18.9,21.8,3.3,24.6,0.01,3.66,8.88
2013,5,2013.05.20,ав╩Й,2.4,7.4,4.674,0.076,5.6,2.402,1.562,0.052,7.5,7.4,5.9,341,11.5,21.6,3.49,25.63,0.03,6.25,32.18
2013,5,2013.05.27,ав╩Й,5,10.8,4.884,0.101,6.7,2.245,1.374,0.056,18.6,7.8,8.6,393,34.7,22.8,3.75,27.33,35.25,2.96,60.04
2013,6,2013.06.04,ав╩Й,4.3,7.1,3.451,0.089,5.1,0.997,1.468,0.037,11.3,7.7,9,195,34.3,21.8,3.74,27.27,0.01,18.36,44.18
2013,6,2013.06.12,ав╩Й,4.4,11,4.244,0.116,5.9,0.912,1.832,0.032,19,7.6,8.3,262,28.8,24,3.44,25.36,2.51,10.89,34.88
2013,6,2013.06.17,ав╩Й,4.6,11.3,4.454,0.119,6.5,1.657,1.59,0.023,10.5,6.8,5.8,279,77.9,24.2,3.75,27.33,0.02,17.69,51.09
2013,6,2013.06.24,ав╩Й,3.7,9.9,3.322,0.089,6.2,0.97,1.62,0.047,10.7,8.1,8.4,190,38.2,26.4,3.5,25.68,0,30.22,79.7
2013,7,2013.07.01,ав╩Й,3.2,10.7,3.705,0.127,5.4,0.914,1.616,0.034,10.2,8.1,9.1,232,61.4,27,3.59,26.28,0,17.28,28.65
2013,7,2013.07.08,ав╩Й,2.3,7.4,2.585,0.273,4.4,0.343,1.557,0.125,59.1,6.6,8.1,108,2.6,23.4,3.69,26.94,1.17,152.34,414.75
2013,7,2013.07.16,ав╩Й,2.4,5.7,2.852,0.078,3.5,0.12,2.085,0.042,7.3,8.3,9.2,236,31.2,28.3,3.6,26.34,0.05,20.17,48.76
2013,7,2013.07.22,ав╩Й,3.1,7.8,2.656,0.124,4.3,0.111,1.908,0.044,15.3,7.8,8.2,200,41,29.1,3.54,25.95,0.1,7.49,37.94
2013,7,2013.07.29,ав╩Й,4.9,7.3,3.249,0.104,5,0.68,1.657,0.042,13.1,7.4,6.9,266,28.2,28.2,3.91,28.39,20.61,22.64,66.87
2013,8,2013.08.06,ав╩Й,4.8,8.8,2.828,0.143,6.1,0.497,1.44,0.077,21.8,8.1,7.5,224,48.8,29.2,3.72,27.14,0,26.94,88.12
2013,8,2013.08.13,ав╩Й,4.2,8.9,2.384,0.143,6.6,0.399,1.202,0.068,12.3,8.7,9.1,235,34.2,32,3.56,26.08,0.01,8.91,24.56
2013,8,2013.08.19,ав╩Й,4.5,11.5,1.906,0.144,5.7,0.16,0.707,0.05,14.5,9.4,8,237,59.5,31.4,2.87,22.36,1.49,7.69,30.4
2013,8,2013.08.26,ав╩Й,2,6.9,2.451,0.171,4.3,0.388,1.413,0.127,31.4,6.7,6,121,2.7,25.7,3.64,26.61,0.17,28.42,101.69
2013,9,2013.09.02,ав╩Й,2.4,6,2.512,0.162,4.5,0.142,1.751,0.099,10.9,6.7,6.5,125,23.6,24.8,3.65,26.67,0,45.51,82.35
2013,9,2013.09.10,ав╩Й,1.3,7.4,2.81,0.093,4.2,0.212,1.934,0.039,8.3,7.9,9.2,209,41.5,24.4,3.53,25.88,0.19,18.35,41.8
2013,9,2013.09.16,ав╩Й,3.4,5.7,2.378,0.216,5,0.597,1.322,0.153,22.1,6.8,6.7,159,10.1,23.5,3.62,26.48,0,35.12,76.41
2013,9,2013.09.24,ав╩Й,4.5,7.4,2.331,0.064,5.4,0.054,1.536,0.002,5.9,8.6,10.5,200,30,25.9,3.51,25.75,0.34,8.29,27.18
2013,10,2013.10.01,ав╩Й,2.7,5.8,2.616,0.109,4.2,0.511,1.552,0.062,9.5,7.5,8.3,226,18.5,23.3,3.57,26.15,7.63,7.36,27.51
2013,10,2013.10.08,ав╩Й,2.6,7.8,3.921,0.068,4.9,0.433,1.998,0.001,11.4,8.3,10.9,290,73.5,22.9,3.28,24.49,9.02,5.24,41.48
2013,10,2013.10.15,ав╩Й,2.8,6.3,3.32,0.081,4.3,0.405,2.091,0.003,15.3,8.1,9,302,40.8,21.1,3.53,25.88,0,46.51,63.25
2013,10,2013.10.22,ав╩Й,2.3,6.8,3.372,0.074,4.3,0.372,2.198,0.003,18.7,7.9,10.1,283,43.2,19.4,3.53,25.88,0,6.94,22.93
2013,10,2013.10.28,ав╩Й,3.3,6.7,3.487,0.064,4.7,0.381,2.424,0.002,21.3,8,10.1,331,47,17.3,2.26,19.49,0,17.99,93.54
2013,11,2013.11.04,ав╩Й,3.2,7.4,4.494,0.109,9.1,0.261,3.121,0.003,23.9,7.6,10.4,372,61.6,16.6,1.51,16.26,0,2.61,14.25
2013,11,2013.11.12,ав╩Й,3.8,6.6,4.019,0.082,7.4,0.258,3.045,0.004,19,8.2,10.3,379,26.2,14,3.55,26.01,0,5.86,19.08
2013,11,2013.11.18,ав╩Й,3.5,6.7,4.644,0.087,5.2,0.448,3.822,0.005,18.2,7.4,12.4,401,45.6,12.6,3.57,26.15,6.59,7.35,20.73
2013,11,2013.11.25,ав╩Й,4.4,6.4,4.809,0.077,7.8,0.711,3.277,0.003,12,8.1,12.5,500,53.7,10.8,3.78,27.53,8.61,24.72,87.96
2013,12,2013.12.03,ав╩Й,4,6.4,5.138,0.077,4.9,1.319,3.002,0.025,10.5,6.9,13.6,370,29.8,8.4,3.52,25.82,0,7.98,29.29
2013,12,2013.12.11,ав╩Й,4.7,6.2,4.261,0.121,4.9,0.982,2.721,0.037,9.3,7.3,12.1,328,23.5,7.3,3.56,26.08,2.35,2.7,16.05
2013,12,2013.12.16,ав╩Й,3.6,6.9,4.453,0.111,5.1,1.049,2.884,0.06,6.7,7.3,12.7,430,10.7,6.3,3.53,25.88,0.01,7.4,24.29
2013,12,2013.12.24,ав╩Й,3.1,6,5.462,0.073,5.2,1.119,3.628,0.017,6.3,7.7,12,430,10.3,5.4,3.55,26.01,0.34,5.23,19
2014,1,2014.01.07,ав╩Й,5.4,7,5.796,0.077,4.9,1.472,3.641,0.015,12.9,7.9,16.8,427,28.4,4.3,3.55,26.01,0.07,6.12,18.2
2014,1,2014.01.13,ав╩Й,6.1,8,6.566,0.072,4.8,1.311,4.597,0.001,9.1,8.8,16,459,63.7,3.5,3.54,25.95,0,7.35,18.84
2014,1,2014.01.22,ав╩Й,7.8,9.4,6.008,0.077,7.3,1.271,4.441,0.001,18.9,9,16.2,474,152.8,3.2,3.54,25.95,0.35,7.72,21.19
2014,1,2014.01.27,ав╩Й,6.2,11.4,7.417,0.083,5.7,1.54,4.148,0.002,18.3,9,16.8,464,56.7,3.9,3.52,25.82,0.02,5.52,19.59
2014,2,2014.02.04,ав╩Й,6.1,10.7,7.521,0.089,6.3,1.685,4.493,0.001,24.4,8.9,13.5,606,55,4.2,3.52,25.82,0,5.38,15.52
2014,2,2014.02.11,ав╩Й,5.8,10.1,7.22,0.091,5.6,1.994,4.299,0.003,20,8.9,15.6,389,67,4.7,3.52,25.82,0.02,4.58,14.19
2014,2,2014.02.17,ав╩Й,6.8,9.3,7.496,0.075,5.9,2.297,3.925,0.001,19.9,9,16.4,423,49.3,5.3,3.5,25.68,2.16,4.76,18.25
2014,2,2014.02.24,ав╩Й,6,10.4,7.039,0.075,6.5,2.69,3.516,0.001,12.9,8.8,15.2,469,60.9,6.3,3.52,25.82,0,3.86,13.76
2014,3,2014.03.04,ав╩Й,6.3,10,8.196,0.092,7.2,3.385,3.292,0.002,14,8.9,14.5,578,23.2,7.7,3.5,25.68,0,5.76,17.5
2014,3,2014.03.11,ав╩Й,4.7,8.6,8.348,0.065,7.3,3.751,2.964,0.004,10.4,7.8,11.8,490,27.5,7.4,3.41,25.2,0,2.57,14.12
2014,3,2014.03.18,ав╩Й,5.2,8.8,8.419,0.087,6.9,4.252,2.645,0.005,10,8,13.5,499,49.3,9.6,3.41,25.2,0.2,6.88,20.49
2014,3,2014.03.24,ав╩Й,4,8.3,8.226,0.091,6.8,4.43,2.709,0.028,7.9,8.2,11,478,21,10.7,3.5,25.68,0,4.77,14.14
2014,4,2014.04.01,ав╩Й,3.9,7.3,5.815,0.104,5.6,2.557,2.45,0.062,5.3,7.3,8.6,370,21.4,14.4,3.52,25.82,0.05,11.62,30.28
2014,4,2014.04.08,ав╩Й,5.8,8.3,4.976,0.143,5.1,1.928,1.647,0.016,40.2,7.9,10.8,335,49.2,14.1,3.47,25.52,0,4.05,16.16
2014,4,2014.04.15,ав╩Й,6,9.1,4.133,0.096,5.5,1.12,2.144,0.021,7.5,6.9,9.2,310,46.5,16,3.53,25.88,0.26,4.72,15.21
2014,4,2014.04.21,ав╩Й,4.1,8.3,4.198,0.104,5.4,1.122,1.916,0.014,9.5,7.3,9,389,29.1,16.4,3.52,25.82,0,4.3,15.78
2014,4,2014.04.28,ав╩Й,3.2,7.7,4.799,0.109,5.8,1.809,2.09,0.044,12.8,7.3,6.8,387,20.4,17.7,3.53,25.88,11.58,8.99,22.05
2014,5,2014.05.07,ав╩Й,3,6.4,4.871,0.097,5.8,2.049,1.45,0.03,11.8,7.3,6.6,408,23.7,17.9,3.53,25.88,0,4.1,14.13
2014,5,2014.05.13,ав╩Й,2.6,7.2,4.354,0.115,6.2,1.927,1.259,0.052,14.7,7.5,6,376,17.8,19.5,3.52,25.82,1.21,16.42,50.99
2014,5,2014.05.20,ав╩Й,2,7.5,3.99,0.105,6.3,1.412,1.508,0.037,11.1,7.3,7.8,362,17.7,21.5,3.52,25.82,12.5,10.04,32.49
2014,5,2014.05.27,ав╩Й,4,8,3.583,0.148,6.6,1.18,1.389,0.017,21.5,7.8,8.1,328,32.8,22.6,3.52,25.82,0,5.73,7.17
2014,6,2014.06.02,ав╩Й,4.4,11.5,3.387,0.134,8.4,0.891,1.242,0.01,19.5,8.5,11.6,311,63.2,23.8,3.51,25.75,7.04,7.85,34.36
2014,6,2014.06.10,ав╩Й,3.1,8.2,4.242,0.113,7.6,1.637,1.314,0.035,12.2,7.4,6.4,301,19.7,24,3.49,25.63,0.36,3.33,23.73
2014,6,2014.06.17,ав╩Й,3.2,8.8,3.379,0.096,7.5,1.086,1.33,0.019,11.5,7.6,4.4,315,38.6,24.5,3.43,25.3,1.78,6.81,32.62
2014,6,2014.06.23,ав╩Й,3.8,9.3,3.401,0.089,6.7,0.881,1.383,0.017,15.1,7.9,7.1,327,50.2,24.9,3.49,25.63,4.18,25.18,41.71
2014,7,2014.07.01,ав╩Й,5.9,8.7,3.163,0.07,6.5,0.873,1.28,0.005,13.8,7.8,8,331,32,26.1,3.49,25.63,0.73,2.69,13.83
2014,7,2014.07.08,ав╩Й,2.9,8.8,4.942,0.134,8.6,1.946,2.92,0.053,13.2,7.3,3.7,384,29.5,24.6,3.54,25.95,0.34,12.54,49.57
2014,7,2014.07.15,ав╩Й,2.4,7.7,3.382,0.14,5.7,1.388,1.05,0.069,12.5,7.9,7.9,301,22.5,25.6,3.47,25.52,0.93,9.1,35.29
2014,7,2014.07.22,ав╩Й,1.7,5.2,2.599,0.149,4.1,0.206,1.62,0.077,17.5,7,7.3,110,19,25.3,3.69,26.94,0,35.48,61.56
2014,7,2014.07.28,ав╩Й,1.8,5,2.454,0.081,4.3,0.096,1.63,0.05,5.7,7.5,7.5,157,20.7,27.3,3.67,26.81,19.06,21.03,33.11
2014,8,2014.08.05,ав╩Й,1.4,6,2.335,0.15,4,0.477,1.11,0.085,18.3,6.8,6.8,135,6.3,23.6,3.79,27.6,0.27,107.82,211.52
2014,8,2014.08.12,ав╩Й,3.8,6,2.306,0.078,4,0.168,1.53,0.028,8.6,7.8,7.7,171,5.5,26,3.49,25.63,0,4.24,34.5
2014,8,2014.08.19,ав╩Й,3,7,2.296,0.297,4.4,0.244,1.26,0.093,53.3,7.1,8,103,1.2,23,3.61,26.41,3.55,126.9,373.3
2014,8,2014.08.26,ав╩Й,2.3,6.7,2.114,0.277,4.3,0.206,1.26,0.117,58.1,7.3,9.3,107,1.9,23.7,3.57,26.15,0.19,201.77,484.39
2014,9,2014.09.01,ав╩Й,3.2,6.1,2.336,0.111,3.8,0.128,1.51,0.04,9.7,8,10.1,160,16.7,24.3,3.63,26.54,0,37.69,76.13
2014,9,2014.09.11,ав╩Й,3.5,6.8,2.776,0.096,4.7,0.298,0.78,0.038,8.8,8.1,7.5,229,5.9,24.6,3.53,25.88,0,7.66,23.27
2014,9,2014.09.16,ав╩Й,2.7,6.5,2.602,0.085,5.1,0.311,1.51,0.033,7.4,8.2,11,240,7.6,25.3,3.52,25.82,0,8.48,36.61
2014,9,2014.09.22,ав╩Й,2.5,6.3,2.897,0.079,5.5,0.465,1.62,0.018,9.4,8.4,13.2,271,17.1,24.9,3.51,25.75,0,8.02,33.48
2014,9,2014.09.29,ав╩Й,3.1,6.4,1.599,0.075,4.4,0.087,1.09,0.021,9.8,7.9,12.2,157,12,22.8,3.57,26.15,4.05,16.81,42.95
2014,10,2014.10.07,ав╩Й,3.7,6.5,2.682,0.118,4.6,0.5,1.67,0.075,17.3,7.2,7.3,208,3.4,21.6,3,22.97,0,5.14,25.44
2014,10,2014.10.14,ав╩Й,3,4.4,3.033,0.082,5,0.357,1.74,0.046,18.8,7.5,8.3,272,4,20.8,3.01,23.02,0.02,4.91,17.99
2014,10,2014.10.20,ав╩Й,3.3,6.5,3.226,0.09,4.9,0.288,2.01,0.044,19.6,7.3,8.3,296,3,19.2,3.02,23.08,24.05,4.58,30.67
2014,10,2014.10.28,ав╩Й,3.8,6.5,2.731,0.166,4.2,0.406,1.31,0.085,17.5,7.4,8,202,17.2,17.4,1.53,16.34,0,2.18,21.86
2014,11,2014.11.04,ав╩Й,2.3,5.3,2.943,0.119,4.1,0.467,1.59,0.062,13.6,7.2,8,212,7.3,15.4,3.49,25.63,0,6.13,27.64
2014,11,2014.11.11,ав╩Й,1.6,4.9,3.869,0.092,4.3,0.542,2.27,0.037,11.9,7.5,9.1,296,8.8,14.2,3.51,25.75,0,5.47,20.46
2014,11,2014.11.17,ав╩Й,2.3,5.4,3.75,0.092,4.2,0.597,1.97,0.039,10.5,7.2,8.8,292,7.5,12.6,3.51,25.75,0.75,6.67,22.94
2014,11,2014.11.25,ав╩Й,4.7,7.7,5.408,0.202,4.9,1.252,2.73,0.091,48,7,10.4,323,10.3,11.8,3.67,26.81,0.2,83.02,209.44
2014,12,2014.12.01,ав╩Й,3.8,6.3,2.927,0.166,4,0.544,1.87,0.103,31.4,7.3,11.3,211,7.2,11.6,3.72,27.14,1.95,36.27,76.85
2014,12,2014.12.08,ав╩Й,2.6,5.9,3.95,0.084,4.1,0.912,2.05,0.074,11.4,7.1,10.3,283,15.9,7.9,3.56,26.08,2.7,17.04,46.75
